detail_location,holiday_time,latitude,longitude,manager,phone,restriction_id,restriction_type,road_name,saturday_time,weekday_time
쌍용대리점 앞,00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
(KTX역 주변 동편 도로,00:00,,,충청남도 아산시,041-540-2953,,03,고속철역길,00:00,08:00
공립 배방유치원 부근,00:00,,,충청남도 아산시,041-540-2953,,03,북수로25번길,00:00,08:00
아산환경과학공원입구 ~ 배미수영장삼거리,00:00,,,충청남도 아산시,041-540-2953,,03,실옥로,00:00,08:00
배방초등학교후문 ~ 광명교회,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
아산우체국 ~ 전자랜드사잇길 진출입로,00:00,,,충청남도 아산시,041-540-2953,,03,시민로457번길,00:00,08:00
나우이엔지정문 앞 도로변,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로,00:00,08:00
아산제2테크노밸리 산업단지 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로,00:00,08:00
KT수련원 앞 버스정류장 일원,00:00,,,충청남도 아산시,041-540-2953,,03,도고면로,00:00,08:00
초원아파트 입구,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로681번길,00:00,08:00
용화동 아프리카 호프집 앞 도로(태성연립 입구 교차로 ~ 남부대로 입구),00:00,,,충청남도 아산시,041-540-2953,,03,용화로,00:00,08:00
배방읍 공수리 배방119안전센터 앞 도로(태성1차 입구 ~ 배방도서관 입구),00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
하나유치원 주변도로(휴대폰프라자 ~ 삼정그린코아 옆 도로),00:00,,,충청남도 아산시,041-540-2953,,03,모산로126번길,00:00,08:00
순천향대 후문 앞 ~ 학성주유소3가,00:00,,,충청남도 아산시,041-540-2953,,03,순천향로,00:00,08:00
탕정우체국~용두1리 버스승강장,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
대동교 ~ 무재교,00:00,,,충청남도 아산시,041-540-2953,,03,만전당길,00:00,08:00
방축동 제4공영주차장 주변,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
유림모터스 주변,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
아산전자기계고교 앞,00:00,,,충청남도 아산시,041-540-2953,,03,중앙로133번길,00:00,08:00
온양3동행정복지센터 앞 도로(한라동백아파트 정문 앞),00:00,,,충청남도 아산시,041-540-2953,,03,삼동로40번길,00:00,08:00
둔포면행정복지센터 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,둔포면로,00:00,08:00
현대자동차 출고장사거리(현대자동차사거리 ~ 출고장사거리),00:00,,,충청남도 아산시,041-540-2953,,03,현대로1029번길,00:00,08:00
일성청룡아파트 앞,00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,08:00
장미마을,00:00,,,충청남도 아산시,041-540-2953,,03,시민로393번길,00:00,08:00
공수초 입구 사거리(푸르지오2차아파트 뒤편),00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
굴다리식품 ~ 오토크리닝 앞,00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,08:00
인주공단교차로 ~ 걸매리,00:00,,,충청남도 아산시,041-540-2953,,03,인주산단로,00:00,08:00
제자교회 앞(덕지1교차로 ~ 초원@입구 삼거리),00:00,,,충청남도 아산시,041-540-2953,,03,음봉로 681번길,00:00,08:00
푸르지오 정문앞,00:00,,,충청남도 아산시,041-540-2953,,03,모종로22번길,00:00,08:00
삼성디스플레이아산2캠퍼스 정문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
해맑은한의원 아산본점 인근,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
법곡동 코아루 더파크 후문,00:00,,,충청남도 아산시,041-540-2953,,03,법곡길,00:00,08:00
온천중앙교회앞,00:00,,,충청남도 아산시,041-540-2953,,03,용화고길,00:00,08:00
한올여고앞,00:00,,,충청남도 아산시,041-540-2953,,03,청운로,00:00,08:00
온양중학교 맞은편도로,00:00,,,충청남도 아산시,041-540-2953,,03,온중로,00:00,08:00
삼환나우빌아파트 앞도로,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
배방읍 배방푸르지오2차@후문,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
공용주차장앞,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리서로,00:00,08:00
효성@후문 ~ 한성3차@ 후문,00:00,,,충청남도 아산시,041-540-2953,,03,배방로14번길,00:00,08:00
배방금호어울림2단지아파트 앞 도로 일부,00:00,,,충청남도 아산시,041-540-2953,,03,북수서로,00:00,08:00
푸르지오마트-한성필@정문,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
배방금호어울림2단지아파트 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,북수서로,00:00,08:00
배방역효성해링턴플레이스 정문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
"한화에어로스페이스 아산사업장, 신성오피스텔 사이 도로",00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로,00:00,08:00
동산사거리 가감속 차선(산동사거리 방향),00:00,,,충청남도 아산시,041-540-2953,,03,삼성로,00:00,08:00
와우육교 아래,00:00,,,충청남도 아산시,041-540-2953,,03,아산호로,00:00,08:00
삼성기숙사 후문 버스승강장 앞,00:00,,,충청남도 아산시,041-540-2953,,03,삼성로,00:00,08:00
동산2교차로 ~ 동덕사거리,00:00,,,충청남도 아산시,041-540-2953,,03,삼성로,00:00,08:00
탕정유니콘101지식산업센터 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,용머리길+온샘로+이순신대로,00:00,08:00
온양힐스테이트 정문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,남산로,00:00,08:00
이내 삼거리 인근 ~ 은수사거리 인근,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
청솔아파트 정문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,외암로,00:00,08:00
중앙하이츠3차 후문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,북수로,00:00,08:00
문화의거리 진입로,00:00,,,충청남도 아산시,041-540-2953,,03,온궁로,00:00,08:00
천안아산역리슈빌아파트 주변,00:00,,,충청남도 아산시,041-540-2953,,03,장재로,00:00,08:00
한양수자인 입구 및 인근 4차선 도로,00:00,,,충청남도 아산시,041-540-2953,,03,북수로,00:00,08:00
북수마을배방자이2차아파트 후문 쪽 도로,00:00,,,충청남도 아산시,041-540-2953,,03,월천1길,00:00,08:00
배방한성필하우스2단지아파트 201동 인근 도로,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
제2공영주차장 인근,00:00,,,충청남도 아산시,041-540-2953,,03,배방로14번길,00:00,08:00
이든아이아동발달센터~수학여우,00:00,,,충청남도 아산시,041-540-2953,,03,배방로147번길,00:00,08:00
캐슬미소지움 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,문화로62번길,00:00,08:00
삼일파라뷰더스테이아파트 주변,00:00,,,충청남도 아산시,041-540-2953,,03,실옥로,00:00,08:00
엠에스솔루션 ~한화모멘텀 아산사업장,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로,00:00,08:00
에스엔유 프리시젼~니프코코리아 아산공장,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리남로,00:00,08:00
신라엔지니어링~위아마그나파워트레인,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리남로,00:00,08:00
삼성미즈병원 및 천안아산역미소지움더플레이스171오피스텔 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,희망로46번길,00:00,08:00
음봉중학교 옆 도로,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로,00:00,08:00
이마트 아산점 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,풍기북로,00:00,08:00
"현대모비스아산수출물류센터, 에미지케어 사이 도로",00:00,,,충청남도 아산시,041-540-2953,,03,토정로,00:00,08:00
일신정밀 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로388번길,00:00,08:00
에스티에이프로덕트 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리북로+아산밸리동로,00:00,08:00
대전지방법원 천안지원 아산시법원 주변,00:00,,,충청남도 아산시,041-540-2953,,03,용화로76번길,00:00,08:00
온천22통마을회관 주변,00:00,,,충청남도 아산시,041-540-2953,,03,용화로48번길,00:00,08:00
피자파는집 아산점 주변,00:00,,,충청남도 아산시,041-540-2953,,03,삼동로,00:00,08:00
유림모터스 주변,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
중앙공원 주변,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로+아산밸리남로,00:00,08:00
한국자동화기술 앞,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로388번길,00:00,08:00
경기산업 아산공장~에이엠테크놀로지,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리중앙로,00:00,08:00
신영모닝빌 버스승강장 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,윤보선로,00:00,08:00
용화동강씨화로 삼거리 일원,00:00,,,충청남도 아산시,041-540-2953,,03,온여고길,00:00,08:00
예당민물나라 진입도로 일원,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
장재2교차로에서 온천대로 양방향,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
배방한성필하우스2단지아파트 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
로타렉스코리아 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,갈산샛들1로,00:00,08:00
지중해마을 일원,00:00,,,충청남도 아산시,041-540-2953,,03,탕정면로8번길+탕정면로22번길,00:00,08:00
아산테크노밸리이지더원7차아파트 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리북로+아산밸리중앙로,00:00,08:00
아산중고차매매상사 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
플렉스온 주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,용머리길,00:00,08:00
모종한성필하우스2차아파트와 모종주공아파트 사이 도로,00:00,,,충청남도 아산시,041-540-2953,,03,모종로,00:00,08:00
좌부동 설화초원아파트 302동 굽은지점,00:00,,,충청남도 아산시,041-540-2953,,03,고불로,00:00,08:00
케이카 아산지점 주변,00:00,,,충청남도 아산시,041-540-2953,,03,동방로,00:00,08:00
배방꿈비채아파트 주변,00:00,,,충청남도 아산시,041-540-2953,,03,월천5~7길,00:00,08:00
"다솜테크, 세원피엔드디 주변",00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로459번길,00:00,08:00
모종캐슬어울림1~3단지 주변,00:00,,,충청남도 아산시,041-540-2953,,03,모종로,00:00,08:00
그때그시절옛날반점~파크빌,00:00,,,충청남도 아산시,041-540-2953,,03,월천2길,00:00,08:00
치킨신드롬~플로트커피,00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
가람주유소 주변,00:00,,,충청남도 아산시,041-540-2953,,03,인주산단로,00:00,08:00
CU아산용화원룸점 앞 사거리 포함 도로,00:00,,,충청남도 아산시,041-540-2953,,03,용화로+온화로,00:00,08:00
형제방죽공원 주변,00:00,,,충청남도 아산시,041-540-2953,,03,서부북로,00:00,08:00
주은아파트 주변,00:00,,,충청남도 아산시,041-540-2953,,03,어의정로,00:00,08:00
배방우방아이유쉘2차아파트 203동 옆 도로,00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
기산현대아파트 상가 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,공세길,00:00,08:00
아산포스코더샵레이크사이드아파트 정문 주변,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로,00:00,08:00
친오애아파트 버스승강장 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
아산 고용복지플러스센터 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
관터삼거리 ~ 관대삼거리,00:00,,,충청남도 아산시,041-540-2953,,03,관대길,00:00,08:00
탑텐 아산탕정점 앞 일방통행로,00:00,,,충청남도 아산시,041-540-2953,,03,매곡한들16길,00:00,08:00
중앙산업 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
"탕정대광로제비앙아파트, 이순신고 뒤편 도로",00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
마리올라 아산 신정호수점 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,신정호길,00:00,08:00
동암1교차로 ~ 덕지2교차로,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로,00:00,08:00
자매한식뷔페 앞 다로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로406번길,00:00,08:00
캠스베일리2차 정문 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,용연동길,00:00,08:00
한양수자인2차아파트 ~ 메이루즈아파트 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,북수로,00:00,08:00
가람주유소 앞 삼거리 주변,00:00,,,충청남도 아산시,041-540-2953,,03,인주산단로,00:00,08:00
온양여고 정문 주변,00:00,,,충청남도 아산시,041-540-2953,,03,온여고길21번길,00:00,08:00
프라이드병원 진출입구 주변,00:00,,,충청남도 아산시,041-540-2953,,03,월천8길,00:00,08:00
동일이용원 ~ 행복한찹쌀꽈배기 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산로,00:00,08:00
온양온천시장 샘솟는거리(시민문화복지센터앞 ~ 시민약국),00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
송곡사거리 ~ 경제진흥원 뒷길,00:00,,,충청남도 아산시,041-540-2953,,03,은행나무길,00:00,08:00
삼원빌라 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,남산로,00:00,08:00
삼성SDI 음봉기숙사 앞,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
장존동 306-3 청솔아파트 앞,00:00,,,충청남도 아산시,041-540-2953,,03,외암로,00:00,08:00
탕정파출소 앞,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
국도39호(옥정교차로 주변),00:00,,,충청남도 아산시,041-540-2953,,03,아산로,00:00,08:00
철물나라 주변,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
대흥3가 교차로 반경 30m,00:00,,,충청남도 아산시,041-540-2953,,03,아산만로,00:00,08:00
버스승강장 교차로 주변 30m,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로681번길,00:00,08:00
탕정면 삼성 디스플레이 산업단지 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
모종캐슬어울림 1단지 ~ 3단지,00:00,,,충청남도 아산시,041-540-2953,,03,모종로22번길,00:00,08:00
둔포 이지더원아파트 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리중앙로,00:00,08:00
아산제1테크노밸리 산업단지 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,아산밸리로,00:00,08:00
오리골 앞,00:00,,,충청남도 아산시,041-540-2953,,03,충무로,00:00,08:00
신성해장국 앞(모종동 공영주차장 주변),00:00,,,충청남도 아산시,041-540-2953,,03,번영로206번길,00:00,08:00
금강식당 앞,00:00,,,충청남도 아산시,041-540-2953,,03,탕정로,00:00,08:00
탕정삼성트라팰리스아파트~충남외국어고등학교,00:00,,,충청남도 아산시,041-540-2953,,03,삼성로,00:00,08:00
온양고교 ~ 온양온천역 ~ 송악사거리 ~ 동신사거리,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
일신장여관 ~ 명동거리 ~ 성보약국 ~ 해수마트 ~ 세종장 ~ 남양슈퍼,00:00,,,충청남도 아산시,041-540-2953,,03,온궁로+충무로8번길,00:00,08:00
뉴코리아호텔 ~ 대동+동일목재 ~ 온천천복개 ~ 중앙마트(번영로),00:00,,,충청남도 아산시,041-540-2953,,03,아산로+번영로86번길,00:00,08:00
모종동 충무병원 옆(폭 6m도로),00:00,,,충청남도 아산시,041-540-2953,,03,모종남로,00:00,08:00
용화동사거리 ~ 풍기2교차로,00:00,,,충청남도 아산시,041-540-2953,,03,남부로,00:00,08:00
초사동 경찰교육원 진출입로,00:00,,,충청남도 아산시,041-540-2953,,03,무궁화로,00:00,08:00
배방 연화마을 7단지 옆 도로,00:00,,,충청남도 아산시,041-540-2953,,03,연화로,00:00,08:00
도고면 석당리 도고저수지 상부,00:00,,,충청남도 아산시,041-540-2953,,03,도고저수지길,00:00,08:00
영인면 상성리 상성저수지 상부,00:00,,,충청남도 아산시,041-540-2953,,03,영인로,00:00,08:00
배방읍 장재리 펜타포트(이마트) 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,광장로,00:00,08:00
배방읍 오르젠중앙하이츠 1단지 진입도로,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
권곡동 서해그랑블아파트 입구 막힌도로,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
염치읍 경제진흥원 ↔ 우회도로 개설시점,00:00,,,충청남도 아산시,041-540-2953,,03,은행나무길,00:00,08:00
복합시외버스터미널 주변,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
롯데캐슬 하천주변 도로,00:00,,,충청남도 아산시,041-540-2953,,03,호서로,00:00,08:00
온천동 힐스테이트APT+ 늘푸른요양원 앞,00:00,,,충청남도 아산시,041-540-2953,,03,청운로,00:00,08:00
지주자택지 상가 도로,00:00,,,충청남도 아산시,041-540-2953,,03,탕정면로40번길,00:00,08:00
천도초교4가 ~ 제일교회3가,00:00,,,충청남도 아산시,041-540-2953,,03,실옥로,00:00,08:00
장재리 8블럭앞 ~ 1블럭끝,00:00,,,충청남도 아산시,041-540-2953,,03,용연로,00:00,08:00
시민로4거리 ~ 번영로4거리,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
배방읍 구령리 배방역사 하부공간,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
KTX천안아산역 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,희망로,00:00,08:00
태헌장미아파트 진입로,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로,00:00,08:00
21번국도 진입로 ~ 서해그랑블아파트 ~ 청솔아파트,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
현대아이파크 진입로+ 동일하이빌 진입로,00:00,,,충청남도 아산시,041-540-2953,,03,남부로,00:00,08:00
KTX천안아산역 서편승강장(1층 및 2층 데크),00:00,,,충청남도 아산시,041-540-2953,,03,희망로,00:00,00:00
삼성전자 정문 ~ 배방중학교4거리 ~ 대동강음식점,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
광장로 ~ 장재1교+ 광장로 ~ 장재2교,00:00,,,충청남도 아산시,041-540-2953,,03,광장로,00:00,08:00
아산시청(별관) 주변로,00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,08:00
행목리 친오애아파트 주변로,00:00,,,충청남도 아산시,041-540-2953,,03,행목로,00:00,08:00
탕정면사무소 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,탕정면로,00:00,08:00
신정중학교 입구 ~ 실옥3통(벽산아파트 뒷길),00:00,,,충청남도 아산시,041-540-2953,,03,온천대로1333번길,00:00,08:00
21번 국도 ~ 신한은행,00:00,,,충청남도 아산시,041-540-2953,,03,북수동로,00:00,08:00
배방읍 푸르지오@ ~ 삼정그린코아,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
장재리 연화초 주변,00:00,,,충청남도 아산시,041-540-2953,,03,연화로,00:00,08:00
모종동 터미널 뒤,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
초사동 경찰교육원 입구,00:00,,,충청남도 아산시,041-540-2953,,03,무궁화로,00:00,08:00
온천동 일성아파트 주변 도로(시청사거리 ↔ 아산시립어린이도서관 입구),00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,08:00
모종동 한성1차필하우스 주변 도로(삼성전자A/S ↔ 모종주공 107동앞 ↔ 한성1차 101동앞),00:00,,,충청남도 아산시,041-540-2953,,03,모종로,00:00,08:00
배방읍 공수개선도 ~ 삼정@,00:00,,,충청남도 아산시,041-540-2953,,03,모산로,00:00,08:00
배방읍 세출리 호서대 진입로,00:00,,,충청남도 아산시,041-540-2953,,03,호서로,00:00,08:00
배방 장재리 STX KAN 후문,00:00,,,충청남도 아산시,041-540-2953,,03,용연로,00:00,08:00
용화동 교통섬 ~ 고향카센타(용화택지 개발 끝),00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,08:00
중앙하이츠@4가 ~ 대우푸르지오@ ~ 삼성전자입구,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
고속철도3가(21호국도) ~ KTX주차장 ~ 천안시 경계,00:00,,,충청남도 아산시,041-540-2953,,03,고속철대로,00:00,08:00
신정호 옥련암 앞 도로,00:00,,,충청남도 아산시,041-540-2953,,03,신정호길,00:00,08:00
동양고속 ~ 칠성갈비,00:00,,,충청남도 아산시,041-540-2953,,03,번영로217번길,00:00,08:00
롯데캐슬(아) ~ 중앙하이츠3차(아),00:00,,,충청남도 아산시,041-540-2953,,03,북수로,00:00,08:00
모종 한성필하우스(아)앞,00:00,,,충청남도 아산시,041-540-2953,,03,모종로22번길,00:00,08:00
E마트 ~ 터미널 ~ 박물관4가,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
신창 코아루(아) 입구,00:00,,,충청남도 아산시,041-540-2953,,03,남성길,00:00,08:00
온고4가 ~ 방축4가,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
천안시계 ~ 산동4가,00:00,,,충청남도 아산시,041-540-2953,,03,음봉로,00:00,08:00
빠리바게트 ~ 온양역,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
신정약국 ~ 화성방앗간,00:00,,,충청남도 아산시,041-540-2953,,03,온양역길,00:00,08:00
아산토정교차로,00:00,,,충청남도 아산시,041-540-2953,,03,영인로,00:00,08:00
명암3리 ~ 삼성정문,00:00,,,충청남도 아산시,041-540-2953,,03,삼성로,00:00,00:00
신창역 진입도로 및 신창역 주변,00:00,,,충청남도 아산시,041-540-2953,,03,행목로,00:00,08:00
주공4단지3가 ~ 주공4단지끝 ~ 포스코@입구,00:00,,,충청남도 아산시,041-540-2953,,03,권곡로,00:00,08:00
온양온천역광장 ~ 푸른정형외과앞,00:00,,,충청남도 아산시,041-540-2953,,03,충무로,00:00,08:00
송악장앞(송악나드리 버스정류장) ~ 뚜레쥬르,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로,00:00,08:00
온양온천역(남문) ~ 용화천주교회앞,00:00,,,충청남도 아산시,041-540-2953,,03,중앙로,00:00,08:00
터미널하차장 ~ 중앙운수앞,00:00,,,충청남도 아산시,041-540-2953,,03,문화로,00:00,08:00
이내4거리(빠리바게뜨) ~ 중앙하이츠3차 정문 앞,00:00,,,충청남도 아산시,041-540-2953,,03,북수로,00:00,08:00
신도시7블럭+ 신도시8블럭 사이길(정문앞 도로),00:00,,,충청남도 아산시,041-540-2953,,03,용연로,00:00,08:00
온양1동사무소부근(GS편의점) ~ 번영로 4가,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
동아아파트4가 ~ 신정중학교앞,00:00,,,충청남도 아산시,041-540-2953,,03,온천대로1333번길,00:00,08:00
21호국도 ~ 장호빌딩 ~ 중앙하이츠@4가,00:00,,,충청남도 아산시,041-540-2953,,03,배방로,00:00,08:00
둔포교 ~ 중앙로타리(신협) ~ 훼미리마트(천주교 방향),00:00,,,충청남도 아산시,041-540-2953,,03,둔포로,00:00,08:00
방축동사거리 ~ 신정호 입구,00:00,,,충청남도 아산시,041-540-2953,,03,신정로,00:00,08:00
펜타폴리스 주변도로,00:00,,,충청남도 아산시,041-540-2953,,03,광장로,00:00,08:00
인주미진@앞 ~ 해암주유소,00:00,,,충청남도 아산시,041-540-2953,,03,현대로,00:00,08:00
인주 삽교천입구(물개탑) ~ 당진군 군계,00:00,,,충청남도 아산시,041-540-2953,,03,서해로,00:00,08:00
온양관광호텔 ~ 시민로4가 ~ 시청 ~ 시청사거리,00:00,,,충청남도 아산시,041-540-2953,,03,시민로,00:00,00:00
시민로사거리 ~ 아고오거리 ~ 권곡4가 ~ 동천4가 ~ 터미널,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
온천마을@삼거리 ~ 중앙초교 ~ 용화천주교사거리,00:00,,,충청남도 아산시,041-540-2953,,03,중앙로,00:00,08:00
번영로4가 ~ 기업은행 ~ 실옥사거리(중부팬더앞),00:00,,,충청남도 아산시,041-540-2953,,03,아산로,00:00,08:00
팔레스호텔 ~ 남산사거리 ~ 용화동 교통섬 ~ 온천마을@3가,00:00,,,충청남도 아산시,041-540-2953,,03,시민로+어의정로,00:00,08:00
아고오거리 ~ 아산고정문,00:00,,,충청남도 아산시,041-540-2953,,03,번영로,00:00,08:00
송악교 ~ 송남초교 ~ 면사무소 ~ 송악슈퍼,00:00,,,충청남도 아산시,041-540-2953,,03,송악로,00:00,08:00
